# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v3.2 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2018-06-04T00:00:00.0
# Date end (ISO 8601): 2018-06-07T00:00:00.0
# Latitude (positive North, ISO 19115): -29.9000
# Longitude (positive East, ISO 19115): 22.3000
# Altitude (m): 1089.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 0 h 15 min 0 s
# noValue: nan
# File generated on: 2019-11-06
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2018-06-04T03:45:00.0/2018-06-04T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T04:00:00.0/2018-06-04T04:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T04:15:00.0/2018-06-04T04:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T04:30:00.0/2018-06-04T04:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T04:45:00.0/2018-06-04T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T05:00:00.0/2018-06-04T05:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T05:15:00.0/2018-06-04T05:30:00.0;1.3537;0.4104;0.1035;0.3069;0.0000;0.1874;0.0000;0.1874;0.0000;0.8667
2018-06-04T05:30:00.0/2018-06-04T05:45:00.0;15.0527;6.6337;3.5470;3.0866;72.2641;4.5419;1.5944;2.9475;27.3094;1.0000
2018-06-04T05:45:00.0/2018-06-04T06:00:00.0;31.4463;17.2951;11.6876;5.6074;121.3149;17.1267;11.4754;5.6513;118.6795;1.0000
2018-06-04T06:00:00.0/2018-06-04T06:15:00.0;47.4357;29.3524;21.9241;7.4283;152.2028;28.7012;20.6077;8.0935;143.3718;1.0000
2018-06-04T06:15:00.0/2018-06-04T06:30:00.0;62.9524;41.7980;32.9911;8.8069;173.0031;39.5658;28.4449;11.1209;149.4340;1.0000
2018-06-04T06:30:00.0/2018-06-04T06:45:00.0;77.9299;54.2326;44.3432;9.8895;188.0191;50.4570;36.1739;14.2831;153.3763;1.0000
2018-06-04T06:45:00.0/2018-06-04T07:00:00.0;92.3042;66.4456;55.6746;10.7710;199.3914;62.4684;46.8818;15.5866;167.8265;1.0000
2018-06-04T07:00:00.0/2018-06-04T07:15:00.0;106.0136;78.2935;66.7864;11.5072;208.3044;74.0462;57.8504;16.1958;180.3918;1.0000
2018-06-04T07:15:00.0/2018-06-04T07:30:00.0;118.9995;89.6609;77.5297;12.1312;215.4536;85.2736;68.5853;16.6884;190.5612;1.0000
2018-06-04T07:30:00.0/2018-06-04T07:45:00.0;131.2063;100.4503;87.7859;12.6644;221.2773;96.2144;79.1627;17.0517;199.5172;1.0000
2018-06-04T07:45:00.0/2018-06-04T08:00:00.0;142.5816;110.5790;97.4577;13.1213;226.0700;106.3588;88.8178;17.5410;206.0208;1.0000
2018-06-04T08:00:00.0/2018-06-04T08:15:00.0;153.0769;119.9777;106.4651;13.5127;230.0399;115.4833;97.3771;18.1062;210.3991;1.0000
2018-06-04T08:15:00.0/2018-06-04T08:30:00.0;162.6471;128.5878;114.7410;13.8469;233.3396;123.8727;105.3214;18.5513;214.1813;1.0000
2018-06-04T08:30:00.0/2018-06-04T08:45:00.0;171.2513;136.3594;122.2289;14.1305;236.0823;131.4164;112.4109;19.0055;217.1178;1.0000
2018-06-04T08:45:00.0/2018-06-04T09:00:00.0;178.8525;143.2493;128.8806;14.3686;238.3531;138.2242;118.9195;19.3047;219.9275;1.0000
2018-06-04T09:00:00.0/2018-06-04T09:15:00.0;185.4184;149.2228;134.6549;14.5679;240.2153;144.3518;124.8307;19.5211;222.6869;1.0000
2018-06-04T09:15:00.0/2018-06-04T09:30:00.0;190.9208;154.2486;139.5171;14.7315;241.7173;149.4735;129.6754;19.7981;224.6655;1.0000
2018-06-04T09:30:00.0/2018-06-04T09:45:00.0;195.3361;158.2981;143.4391;14.8590;242.8958;153.5652;133.5810;19.9841;226.2016;1.0000
2018-06-04T09:45:00.0/2018-06-04T10:00:00.0;198.6454;161.3498;146.3980;14.9518;243.7765;156.6616;136.5866;20.0750;227.4385;1.0000
2018-06-04T10:00:00.0/2018-06-04T10:15:00.0;200.8346;163.3875;148.3764;15.0111;244.3776;158.7209;138.6173;20.1035;228.3042;1.0000
2018-06-04T10:15:00.0/2018-06-04T10:30:00.0;201.8942;164.4003;149.3627;15.0375;244.7104;159.7361;139.5867;20.1494;228.6937;1.0000
2018-06-04T10:30:00.0/2018-06-04T10:45:00.0;201.8199;164.3825;149.3510;15.0315;244.7806;159.7246;139.5807;20.1439;228.7675;1.0000
2018-06-04T10:45:00.0/2018-06-04T11:00:00.0;200.6119;163.3339;148.3409;14.9930;244.5882;158.6745;138.5792;20.0953;228.4928;1.0000
2018-06-04T11:00:00.0/2018-06-04T11:15:00.0;198.2753;161.2596;146.3379;14.9217;244.1277;156.5890;136.5317;20.0573;227.7681;1.0000
2018-06-04T11:15:00.0/2018-06-04T11:30:00.0;194.8203;158.1701;143.3531;14.8170;243.3876;153.4700;133.5098;19.9602;226.6749;1.0000
2018-06-04T11:30:00.0/2018-06-04T11:45:00.0;190.2616;154.0810;139.4030;14.6779;242.3501;149.3684;129.6200;19.7484;225.3416;1.0000
2018-06-04T11:45:00.0/2018-06-04T12:00:00.0;184.6188;149.0133;134.5103;14.5030;240.9889;144.2243;124.7480;19.4763;223.4958;1.0000
2018-06-04T12:00:00.0/2018-06-04T12:15:00.0;177.9160;142.9862;128.7193;14.2668;239.2990;138.0331;118.7833;19.2499;220.8228;1.0000
2018-06-04T12:15:00.0/2018-06-04T12:30:00.0;170.1820;136.0325;122.0649;13.9676;237.2367;131.1331;112.1824;18.9506;218.0283;1.0000
2018-06-04T12:30:00.0/2018-06-04T12:45:00.0;161.4499;128.1968;114.5711;13.6257;234.7106;123.5633;105.0956;18.4677;215.2965;1.0000
2018-06-04T12:45:00.0/2018-06-04T13:00:00.0;151.7571;119.5222;106.2857;13.2365;231.6372;115.1495;97.1322;18.0173;211.6833;1.0000
2018-06-04T13:00:00.0/2018-06-04T13:15:00.0;141.1452;110.0588;97.2644;12.7944;227.9044;105.9346;88.5229;17.4117;207.4140;1.0000
2018-06-04T13:15:00.0/2018-06-04T13:30:00.0;129.6595;99.8655;87.5735;12.2920;223.3614;95.7458;78.7517;16.9941;200.8317;1.0000
2018-06-04T13:30:00.0/2018-06-04T13:45:00.0;117.3493;89.0121;77.2928;11.7192;217.8011;84.7332;68.1008;16.6324;191.8629;1.0000
2018-06-04T13:45:00.0/2018-06-04T14:00:00.0;104.2673;77.5812;66.5185;11.0626;210.9286;73.4318;57.2866;16.1452;181.6076;1.0000
2018-06-04T14:00:00.0/2018-06-04T14:15:00.0;90.4695;65.6700;55.3682;10.3018;202.2997;61.7968;46.2822;15.5146;169.0251;1.0000
2018-06-04T14:15:00.0/2018-06-04T14:30:00.0;76.0150;53.3924;43.9878;9.4046;191.1940;49.7747;35.7771;13.9976;155.5492;1.0000
2018-06-04T14:30:00.0/2018-06-04T14:45:00.0;60.9658;40.8892;32.5726;8.3166;176.3518;38.7671;28.1453;10.6218;152.6648;1.0000
2018-06-04T14:45:00.0/2018-06-04T15:00:00.0;45.3862;28.3721;21.4277;6.9444;155.4266;27.8098;20.2532;7.5566;147.2628;1.0000
2018-06-04T15:00:00.0/2018-06-04T15:15:00.0;29.3430;16.2713;11.1373;5.1339;123.7240;16.2621;11.1190;5.1432;123.5568;1.0000
2018-06-04T15:15:00.0/2018-06-04T15:30:00.0;12.9049;5.6907;3.0735;2.6172;66.2421;5.0292;2.5567;2.4725;52.6152;1.0000
2018-06-04T15:30:00.0/2018-06-04T15:45:00.0;0.6220;0.1813;0.0390;0.1423;0.0000;0.0870;0.0055;0.0815;0.0000;1.0000
2018-06-04T15:45:00.0/2018-06-04T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T16:00:00.0/2018-06-04T16:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T16:15:00.0/2018-06-04T16:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T16:30:00.0/2018-06-04T16:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T16:45:00.0/2018-06-04T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T17:00:00.0/2018-06-04T17:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T17:15:00.0/2018-06-04T17:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T17:30:00.0/2018-06-04T17:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T17:45:00.0/2018-06-04T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T18:00:00.0/2018-06-04T18:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T18:15:00.0/2018-06-04T18:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T18:30:00.0/2018-06-04T18:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T18:45:00.0/2018-06-04T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T19:00:00.0/2018-06-04T19:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T19:15:00.0/2018-06-04T19:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T19:30:00.0/2018-06-04T19:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T19:45:00.0/2018-06-04T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T20:00:00.0/2018-06-04T20:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T20:15:00.0/2018-06-04T20:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T20:30:00.0/2018-06-04T20:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T20:45:00.0/2018-06-04T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T21:00:00.0/2018-06-04T21:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T21:15:00.0/2018-06-04T21:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T21:30:00.0/2018-06-04T21:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T21:45:00.0/2018-06-04T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T22:00:00.0/2018-06-04T22:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T22:15:00.0/2018-06-04T22:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T22:30:00.0/2018-06-04T22:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T22:45:00.0/2018-06-04T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T23:00:00.0/2018-06-04T23:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T23:15:00.0/2018-06-04T23:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T23:30:00.0/2018-06-04T23:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-04T23:45:00.0/2018-06-05T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-05T00:00:00.0/2018-06-05T00:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-05T00:15:00.0/2018-06-05T00:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-05T00:30:00.0/2018-06-05T00:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-05T00:45:00.0/2018-06-05T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-05T01:00:00.0/2018-06-05T01:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-05T01:15:00.0/2018-06-05T01:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-05T01:30:00.0/2018-06-05T01:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-05T01:45:00.0/2018-06-05T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-05T02:00:00.0/2018-06-05T02:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-05T02:15:00.0/2018-06-05T02:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-05T02:30:00.0/2018-06-05T02:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-05T02:45:00.0/2018-06-05T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-05T03:00:00.0/2018-06-05T03:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-05T03:15:00.0/2018-06-05T03:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-05T03:30:00.0/2018-06-05T03:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-05T03:45:00.0/2018-06-05T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-05T04:00:00.0/2018-06-05T04:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-05T04:15:00.0/2018-06-05T04:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-05T04:30:00.0/2018-06-05T04:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-05T04:45:00.0/2018-06-05T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-05T05:00:00.0/2018-06-05T05:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2018-06-05T05:15:00.0/2018-06-05T05:30:00.0;1.1313;0.3269;0.0551;0.2718;0.0000;0.1496;0.0000;0.1496;0.0000;0.9333
2018-06-05T05:30:00.0/2018-06-05T05:45:00.0;14.4925;6.0766;2.7709;3.3057;57.5278;4.1784;1.2817;2.8968;22.5221;1.0000
2018-06-05T05:45:00.0/2018-06-05T06:00:00.0;30.8724;16.3659;10.0381;6.3277;105.8624;16.2140;9.8819;6.3321;103.8027;1.0000
2018-06-05T06:00:00.0/2018-06-05T06:15:00.0;46.8493;28.1983;19.5756;8.6227;137.4529;27.6353;18.8146;8.8206;132.3119;1.0000
2018-06-05T06:15:00.0/2018-06-05T06:30:00.0;62.3549;40.5303;30.1225;10.4079;159.3761;38.5613;27.2012;11.3602;144.1257;1.0000
2018-06-05T06:30:00.0/2018-06-05T06:45:00.0;77.3227;52.9002;41.0439;11.8564;175.3181;49.1832;35.2386;13.9446;150.5278;1.0000
2018-06-05T06:45:00.0/2018-06-05T07:00:00.0;91.6886;65.0715;51.9971;13.0744;187.4013;61.0787;45.7574;15.3213;164.8537;1.0000
2018-06-05T07:00:00.0/2018-06-05T07:15:00.0;105.3912;76.8874;62.7623;14.1251;196.8433;72.6778;56.5416;16.1362;177.3006;1.0000
2018-06-05T07:15:00.0/2018-06-05T07:30:00.0;118.3716;88.2260;73.1801;15.0458;204.3801;83.7786;66.9979;16.7807;187.0862;1.0000
2018-06-05T07:30:00.0/2018-06-05T07:45:00.0;130.5745;98.9871;83.1294;15.8577;210.4893;94.6827;77.4055;17.2772;195.9763;1.0000
2018-06-05T07:45:00.0/2018-06-05T08:00:00.0;141.9475;109.0874;92.5178;16.5697;215.5052;104.8030;86.9213;17.8817;202.4624;1.0000
2018-06-05T08:00:00.0/2018-06-05T08:15:00.0;152.4418;118.4550;101.2535;17.2014;219.6260;113.9716;95.4417;18.5299;207.0171;1.0000
2018-06-05T08:15:00.0/2018-06-05T08:30:00.0;162.0127;127.0301;109.2672;17.7629;223.0132;122.2721;103.3170;18.9550;210.8649;1.0000
2018-06-05T08:30:00.0/2018-06-05T08:45:00.0;170.6191;134.7622;116.5012;18.2611;225.7879;129.8228;110.4556;19.3672;214.0693;1.0000
2018-06-05T08:45:00.0/2018-06-05T09:00:00.0;178.2241;141.6078;122.9063;18.7014;228.0401;136.5582;116.8218;19.7364;216.7487;1.0000
2018-06-05T09:00:00.0/2018-06-05T09:15:00.0;184.7952;147.5349;128.4785;19.0564;229.9038;142.5297;122.5115;20.0182;219.2243;1.0000
2018-06-05T09:15:00.0/2018-06-05T09:30:00.0;190.3043;152.5107;133.1831;19.3276;231.4246;147.5681;127.2550;20.3131;221.1231;1.0000
2018-06-05T09:30:00.0/2018-06-05T09:45:00.0;194.7277;156.5031;136.9544;19.5488;232.5725;151.6163;131.0388;20.5775;222.5264;1.0000
2018-06-05T09:45:00.0/2018-06-05T10:00:00.0;198.0466;159.4915;139.7696;19.7219;233.3759;154.6717;133.9026;20.7691;223.5796;1.0000
2018-06-05T10:00:00.0/2018-06-05T10:15:00.0;200.2468;161.4604;141.6121;19.8483;233.8545;156.6885;135.8532;20.8353;224.3442;1.0000
2018-06-05T10:15:00.0/2018-06-05T10:30:00.0;201.3187;162.3999;142.4713;19.9286;234.0201;157.6414;136.7748;20.8666;224.6632;1.0000
2018-06-05T10:30:00.0/2018-06-05T10:45:00.0;201.2579;162.3051;142.3423;19.9629;233.8780;157.5455;136.6411;20.9043;224.5106;1.0000
2018-06-05T10:45:00.0/2018-06-05T11:00:00.0;200.0647;161.1769;141.2261;19.9508;233.4270;156.3919;135.5169;20.8750;223.9904;1.0000
2018-06-05T11:00:00.0/2018-06-05T11:15:00.0;197.7441;159.0212;139.1297;19.8915;232.6592;154.1786;133.4064;20.7722;223.0882;1.0000
2018-06-05T11:15:00.0/2018-06-05T11:30:00.0;194.3061;155.8495;136.0659;19.7835;231.5599;150.9277;130.3420;20.5858;221.8184;1.0000
2018-06-05T11:30:00.0/2018-06-05T11:45:00.0;189.7655;151.6783;132.0535;19.6248;230.1065;146.7146;126.4054;20.3091;220.2643;1.0000
2018-06-05T11:45:00.0/2018-06-05T12:00:00.0;184.1416;146.5298;127.1174;19.4124;228.2671;141.5101;121.5060;20.0041;218.1891;1.0000
